Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,PK,PKatt,Match Report
2021-08-15,14:30,Eredivisie,Matchweek 1,Sun,Home,L,0,1,Vitesse,0,15,5,33.3,0.0,0.0,,0,0,Match Report
2021-08-20,20:00,Eredivisie,Matchweek 2,Fri,Away,L,0,2,NEC Nijmegen,0,17,1,5.9,0.0,0.0,,0,0,Match Report
2021-08-28,21:00,Eredivisie,Matchweek 3,Sat,Away,L,0,1,Willem II,0,11,4,36.4,0.0,0.0,,0,0,Match Report
2021-09-11,18:45,Eredivisie,Matchweek 4,Sat,Home,L,0,2,Ajax,0,9,2,22.2,0.0,0.0,,0,0,Match Report
2021-09-19,12:15,Eredivisie,Matchweek 5,Sun,Away,L,0,1,Go Ahead Eag,0,9,3,33.3,0.0,0.0,,0,0,Match Report
2021-09-22,21:00,Eredivisie,Matchweek 6,Wed,Home,D,1,1,Sparta R'dam,1,16,4,25.0,0.06,0.25,,0,0,Match Report
2021-09-25,21:00,Eredivisie,Matchweek 7,Sat,Away,L,1,5,Utrecht,1,8,3,37.5,0.13,0.33,,0,0,Match Report
2021-10-02,20:00,Eredivisie,Matchweek 8,Sat,Home,L,0,1,Heerenveen,0,16,3,18.8,0.0,0.0,,0,0,Match Report
2021-10-16,21:00,Eredivisie,Matchweek 9,Sat,Away,L,1,3,PSV Eindhoven,1,6,1,16.7,0.17,1.0,,0,0,Match Report
2021-10-23,20:00,Eredivisie,Matchweek 10,Sat,Home,W,1,0,Heracles Almelo,1,10,2,20.0,0.0,0.0,,1,1,Match Report
2021-10-30,21:00,Eredivisie,Matchweek 11,Sat,Away,L,2,3,AZ Alkmaar,2,7,3,42.9,0.29,0.67,,0,0,Match Report
2021-11-06,21:00,Eredivisie,Matchweek 12,Sat,Home,L,1,2,Cambuur,1,14,4,28.6,0.07,0.25,,0,0,Match Report
2021-11-21,14:30,Eredivisie,Matchweek 13,Sun,Away,L,0,4,Feyenoord,0,5,4,80.0,0.0,0.0,,0,0,Match Report
2021-11-27,20:00,Eredivisie,Matchweek 14,Sat,Home,D,0,0,RKC Waalwijk,0,9,1,11.1,0.0,0.0,,0,1,Match Report
2021-12-03,20:00,Eredivisie,Matchweek 15,Fri,Away,D,1,1,Groningen,1,12,4,33.3,0.08,0.25,,0,0,Match Report
2021-12-11,21:00,Eredivisie,Matchweek 16,Sat,Home,L,0,1,Fortuna Sittard,0,13,1,7.7,0.0,0.0,,0,0,Match Report
2021-12-18,21:00,Eredivisie,Matchweek 17,Sat,Home,L,1,3,Twente,1,13,2,15.4,0.08,0.5,,0,0,Match Report
2021-12-21,18:45,Eredivisie,Matchweek 18,Tue,Away,L,0,1,Vitesse,0,15,7,46.7,0.0,0.0,,0,0,Match Report
2022-01-14,20:00,Eredivisie,Matchweek 19,Fri,Home,W,2,0,Willem II,2,15,5,33.3,0.13,0.4,,0,0,Match Report
2022-01-22,20:00,Eredivisie,Matchweek 20,Sat,Away,W,1,0,Heerenveen,1,10,6,60.0,0.0,0.0,,1,1,Match Report
2022-02-05,20:00,Eredivisie,Matchweek 21,Sat,Home,D,1,1,NEC Nijmegen,1,13,5,38.5,0.08,0.2,,0,0,Match Report
2022-02-12,18:45,Eredivisie,Matchweek 22,Sat,Away,W,4,3,Cambuur,4,12,9,75.0,0.33,0.44,,0,0,Match Report
2022-02-20,12:15,Eredivisie,Matchweek 23,Sun,Home,D,1,1,Groningen,1,10,4,40.0,0.1,0.25,,0,0,Match Report
2022-02-26,16:30,Eredivisie,Matchweek 24,Sat,Away,L,0,2,Heracles Almelo,0,12,2,16.7,0.0,0.0,,0,0,Match Report
2022-03-06,20:00,Eredivisie,Matchweek 25,Sun,Away,W,1,0,Fortuna Sittard,1,20,4,20.0,0.05,0.25,,0,0,Match Report
2022-03-13,16:45,Eredivisie,Matchweek 26,Sun,Home,L,1,2,Feyenoord,1,7,3,42.9,0.14,0.33,,0,0,Match Report
2022-03-19,20:00,Eredivisie,Matchweek 27,Sat,Away,L,0,1,Twente,0,9,4,44.4,0.0,0.0,,0,0,Match Report
2022-04-03,12:15,Eredivisie,Matchweek 28,Sun,Home,L,0,1,Go Ahead Eag,0,13,1,7.7,0.0,0.0,,0,0,Match Report
2022-04-10,20:00,Eredivisie,Matchweek 29,Sun,Home,W,2,1,AZ Alkmaar,2,13,7,53.8,0.15,0.29,,0,0,Match Report
2022-04-23,20:00,Eredivisie,Matchweek 30,Sat,Away,W,2,0,RKC Waalwijk,2,10,4,40.0,0.1,0.25,,1,1,Match Report
2022-04-30,18:45,Eredivisie,Matchweek 31,Sat,Away,L,0,3,Ajax,0,10,1,10.0,0.0,0.0,,0,0,Match Report
2022-05-07,20:00,Eredivisie,Matchweek 32,Sat,Home,D,1,1,Utrecht,1,18,7,38.9,0.06,0.14,,0,0,Match Report
2022-05-11,20:00,Eredivisie,Matchweek 33,Wed,Away,L,0,2,Sparta R'dam,0,22,3,13.6,0.0,0.0,,0,0,Match Report
2022-05-15,14:30,Eredivisie,Matchweek 34,Sun,Home,L,1,2,PSV Eindhoven,1,21,12,57.1,0.05,0.08,,0,0,Match Report
,,,,,,7-6-21,26,52,,26,420,131,31.2,0.05,0.18,,3,4,
