Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,AZ Alkmaar,9,7,2,0,19,7,12,23,2.56,W D W W W,16106,Jens Odgaard - 4,Hobie Verhulst,
2,Ajax,9,7,1,1,27,8,19,22,2.44,W W L D W,39321,Steven Bergwijn - 6,Remko Pasveer,
3,PSV Eindhoven,9,7,0,2,29,13,16,21,2.33,L W W L W,29914,Cody Gakpo - 9,Walter Benítez,
4,Feyenoord,9,6,2,1,23,10,13,20,2.22,W W L D W,47500,Danilo - 6,Justin Bijlow,
5,Twente,9,5,1,3,15,7,8,16,1.78,W D L W L,28375,Václav Černý - 4,Lars Unnerstall,
6,Sparta R'dam,9,4,2,3,14,11,3,14,1.56,W L W D W,10006,Vito van Crooy - 5,Nick Olij,
7,RKC Waalwijk,9,3,4,2,20,14,6,13,1.44,W L W D W,5128,"Iliass Bel Hassani, Michiel Kramer - 4",Etienne Vaessen,
8,Heerenveen,9,3,4,2,8,8,0,13,1.44,D L W D L,19842,Sydney van Hooijdonk - 4,Andries Noppert,
9,Utrecht,9,3,3,3,11,12,-1,12,1.33,W W D W L,19343,Bas Dost - 5,Vasilios Barkas,
10,NEC Nijmegen,9,1,7,1,9,7,2,10,1.11,D D D D D,12371,Iván Márquez - 2,Jasper Cillessen,
11,Fortuna Sittard,9,3,1,5,13,18,-5,10,1.11,L D W W W,9488,Burak Yılmaz - 4,Ivor Pandur,
12,Excelsior,9,3,1,5,11,20,-9,10,1.11,L W L L D,4203,"Reda Kharchouch, Julian Baas - 2",Stijn van Gassel,
13,Go Ahead Eag,9,2,2,5,11,16,-5,8,0.89,L W W D D,9579,Oliver Edvardsen - 4,Jeffrey De Lange,
14,Cambuur,9,2,2,5,8,14,-6,8,0.89,L L L W D,9918,Mees Hoedemakers - 2,João Virgínia,
15,Groningen,9,2,2,5,10,19,-9,8,0.89,L W L L L,18496,Ricardo Pepi - 4,Michael Verrips,
16,Vitesse,9,1,2,6,8,21,-13,5,0.56,W L D L L,12788,"Bartosz Bialek, Matúš Bero... - 2",Kjell Scherpen,
17,Emmen,9,1,2,6,7,21,-14,5,0.56,L L L D L,8012,Ole Romeny - 4,Eric Oelschlägel,
18,Volendam,9,1,2,6,10,27,-17,5,0.56,L L D L L,6606,"Daryl van Mieghem, Carel Eiting... - 2",Filip Stankovic,
